"model","attempt","iterations","max_rhat","min_ess_bulk","min_ess_tail","passed","elapsed_seconds","rep_id","eff_range","prior_scale"
"spatial",1,10000,1.00605720382329,1199.44485297762,1362.59095305477,TRUE,253.261,1,0,500
"nonspatial",1,10000,1.00167931976426,2457.97088323386,2446.95770639869,TRUE,6.221,1,0,500
"spatial",1,10000,1.00849180604984,1116.93193521753,1341.8581642939,TRUE,250.708,2,0,500
"nonspatial",1,10000,1.00328787355252,2746.98597562422,2744.57498943587,TRUE,6.11000000000001,2,0,500
"spatial",1,10000,1.00592711456699,1246.7217859251,1559.34026896984,TRUE,251.042,3,0,500
"nonspatial",1,10000,1.00249706689881,2754.5338868487,2471.63688671352,TRUE,6.38400000000001,3,0,500
"spatial",1,10000,1.00547875164486,1294.41458502448,1566.02357989379,TRUE,251.247,4,0,500
"nonspatial",1,10000,1.00192418703912,2442.75238501106,2305.25320127507,TRUE,6.13599999999997,4,0,500
"spatial",1,10000,1.00349390546078,1161.21950585545,1261.79104814788,TRUE,250.927,5,0,500
"nonspatial",1,10000,1.00339751118991,2695.39590531612,2559.11762181535,TRUE,6.14999999999998,5,0,500
"spatial",1,10000,1.00571037916932,1194.51919143515,1544.89294380058,TRUE,251.194,6,0,500
"nonspatial",1,10000,1.00208973916815,2678.52795761044,2644.39328717568,TRUE,6.16600000000005,6,0,500
"spatial",1,10000,1.00629988915897,966.35707754456,1117.26382501284,TRUE,251.696,7,0,500
"nonspatial",1,10000,1.00144312371341,2981.19120628239,2818.50803188294,TRUE,6.06800000000004,7,0,500
"spatial",1,10000,1.00920783620403,1086.56821796078,1298.63314512688,TRUE,251.219,8,0,500
"nonspatial",1,10000,1.00243008713611,2559.25733365569,2450.44463585768,TRUE,6.15699999999998,8,0,500
"spatial",1,10000,1.0066072506849,1263.55614801383,1258.16255045636,TRUE,251.036,9,0,500
"nonspatial",1,10000,1.00248420843323,2754.91450251934,2636.62016781518,TRUE,6.42699999999996,9,0,500
"spatial",1,10000,1.00518303608859,1108.98407030226,1360.42113301969,TRUE,250.935,10,0,500
"nonspatial",1,10000,1.00214471030547,2800.6981273748,2720.79140394674,TRUE,6.09199999999998,10,0,500
"spatial",1,10000,1.00423702349605,1056.27959381318,1406.68397232552,TRUE,251.583,1,50,500
"nonspatial",1,10000,1.00250779645762,2739.11959316517,2462.73404039051,TRUE,6.16899999999998,1,50,500
"spatial",1,10000,1.00747269268238,1164.03545475569,1245.84130591557,TRUE,251.326,2,50,500
"nonspatial",1,10000,1.00222448948157,2734.95871996955,2456.11245867217,TRUE,6.22800000000001,2,50,500
"spatial",1,10000,1.00490254529157,1193.72625980095,1128.09146381959,TRUE,251.188,3,50,500
"nonspatial",1,10000,1.00192717338277,2758.77218923272,2661.46258777959,TRUE,6.05000000000001,3,50,500
"spatial",1,10000,1.00800433596984,1172.55085463579,1131.29084251997,TRUE,250.877,4,50,500
"nonspatial",1,10000,1.00235006874401,2804.38070425788,2631.51721837885,TRUE,6.03099999999995,4,50,500
"spatial",1,10000,1.01030182491324,1136.45213739069,1076.27894209167,FALSE,251.332,5,50,500
"spatial",2,20000,1.00351731101103,2212.01686598987,2281.17701352527,TRUE,479.246,5,50,500
"nonspatial",1,10000,1.00234276572912,2672.61214066093,2622.57366232288,TRUE,6.38599999999997,5,50,500
"spatial",1,10000,1.0056964787581,1101.29525987981,1038.47036364204,TRUE,250.868,6,50,500
"nonspatial",1,10000,1.00263239028666,2578.43896912294,2484.71242596314,TRUE,6.16199999999998,6,50,500
"spatial",1,10000,1.00631568016596,1052.99415980242,1084.29326965556,TRUE,250.5,7,50,500
"nonspatial",1,10000,1.00249477797998,2450.80316128379,2665.64537141186,TRUE,5.81999999999999,7,50,500
"spatial",1,10000,1.00450858702954,1161.28836857001,1072.0442636026,TRUE,250.658,8,50,500
"nonspatial",1,10000,1.00188640755624,2788.65387996197,2608.89236561973,TRUE,6.17400000000004,8,50,500
"spatial",1,10000,1.0108520781054,1117.92480170406,1241.22939195024,FALSE,251.063,9,50,500
"spatial",2,20000,1.00272557778562,2202.51880624614,2402.77375969327,TRUE,478.832,9,50,500
"nonspatial",1,10000,1.00217939385958,2729.51253426846,2634.11667881606,TRUE,6.33600000000001,9,50,500
"spatial",1,10000,1.00521116377038,1206.32444746211,1269.12935486678,TRUE,250.514,10,50,500
"nonspatial",1,10000,1.00240693983791,2835.47976413581,2499.19616444828,TRUE,5.82999999999998,10,50,500
"spatial",1,10000,1.00571228784617,1155.1858870694,1126.82766552987,TRUE,251.009,1,150,500
