"B_id","X","Y","area_m2","fold"
1,284032.915934147,5963031.75254462,717.639703632711,4
2,284140.05879129,5963031.75254462,717.639703630557,3
3,284247.201648433,5963031.75254462,717.63970362916,2
4,284354.344505576,5963031.75254462,717.639703629029,1
5,284461.487362719,5963031.75254462,717.639703630746,3
6,284568.630219861,5963031.75254462,717.639703626148,5
7,284675.773077004,5963031.75254462,717.63970362999,1
8,284032.915934147,5963137.34807629,803.880287895357,2
9,284140.05879129,5963137.34807629,803.88028789041,5
10,284247.201648433,5963137.34807629,803.880287889944,5
11,284354.344505576,5963137.34807629,803.880287891676,1
12,284461.487362719,5963137.34807629,803.880287892462,1
13,284568.630219862,5963137.34807629,803.880287886932,2
14,284675.773077004,5963137.34807629,803.880287891705,5
15,284032.915934147,5963244.49093344,803.880287895357,2
16,284140.05879129,5963244.49093344,803.88028789041,4
17,284247.201648433,5963244.49093344,803.880287889944,5
18,284354.344505576,5963244.49093344,803.880287891676,3
19,284461.487362719,5963244.49093344,803.880287892462,5
20,284568.630219862,5963244.49093344,803.880287886932,2
21,284675.773077004,5963244.49093344,803.880287891705,4
22,284032.915934147,5963351.63379059,803.880287895357,5
23,284140.05879129,5963351.63379059,803.88028789041,1
24,284247.201648433,5963351.63379059,803.880287889944,4
25,284354.344505576,5963351.63379059,803.880287891676,3
26,284461.487362719,5963351.63379059,803.880287892462,4
27,284568.630219862,5963351.63379059,803.880287886932,2
28,284675.773077004,5963351.63379059,803.880287891705,5
29,284032.915934147,5963458.77664773,803.880287895357,1
30,284140.05879129,5963458.77664773,803.88028789041,3
31,284247.201648433,5963458.77664773,803.880287889944,3
32,284354.344505576,5963458.77664773,803.880287891676,3
33,284461.487362719,5963458.77664773,803.880287892462,2
34,284568.630219862,5963458.77664773,803.880287886932,2
35,284675.773077004,5963458.77664773,803.880287891705,1
36,284032.915934147,5963565.91950487,803.880287895357,5
37,284140.05879129,5963565.91950487,803.88028789041,3
38,284247.201648433,5963565.91950487,803.880287889944,2
39,284354.344505576,5963565.91950487,803.880287891676,4
40,284461.487362719,5963565.91950487,803.880287892462,2
41,284568.630219862,5963565.91950487,803.880287886932,3
42,284675.773077004,5963565.91950487,803.880287891705,1
43,284032.915934147,5963673.06236201,803.880287895357,4
44,284140.05879129,5963673.06236201,803.88028789041,4
45,284247.201648433,5963673.06236201,803.880287889944,1
46,284354.344505576,5963673.06236201,803.880287891676,4
47,284461.487362719,5963673.06236201,803.880287892462,1
48,284568.630219862,5963673.06236201,803.880287886932,4
49,284675.773077004,5963673.06236201,803.880287891705,3
