"fold","variable","rhat","ess_bulk","ess_tail","passed","model","iterations","burn_in","thin","prediction_draws","rep_id","eff_range","prior_scale"
1,"tau_B_sq",1.0009204472154,1674.15218791139,2285.61742536853,TRUE,"spatial",10000,5001,10,2000,1,0,500
1,"sigma_sq",1.00209542715277,1648.88398574227,1974.20239776036,TRUE,"spatial",10000,5001,10,2000,1,0,500
1,"eff_range",1.00541564226702,1843.75306396774,2066.39953066694,TRUE,"spatial",10000,5001,10,2000,1,0,500
1,"lp",1.00263453871984,1199.44485297762,1362.59095305477,TRUE,"spatial",10000,5001,10,2000,1,0,500
2,"tau_B_sq",1.0027386066282,1522.64769272249,1769.42451642118,TRUE,"spatial",10000,5001,10,2000,1,0,500
2,"sigma_sq",1.00373402570497,1727.39864983833,2043.56152746295,TRUE,"spatial",10000,5001,10,2000,1,0,500
2,"eff_range",1.00162072759387,1438.60368848111,1799.40568990432,TRUE,"spatial",10000,5001,10,2000,1,0,500
2,"lp",1.00386422377648,1366.21393714779,1744.09233088879,TRUE,"spatial",10000,5001,10,2000,1,0,500
3,"tau_B_sq",1.00201792322266,1488.34887384193,2025.41729213822,TRUE,"spatial",10000,5001,10,2000,1,0,500
3,"sigma_sq",1.00257875803042,1863.93669030711,2236.60593864041,TRUE,"spatial",10000,5001,10,2000,1,0,500
3,"eff_range",1.00268503047614,1656.90900040481,2162.57138254221,TRUE,"spatial",10000,5001,10,2000,1,0,500
3,"lp",1.00388128830641,1240.18423481984,1567.44099548915,TRUE,"spatial",10000,5001,10,2000,1,0,500
4,"tau_B_sq",1.00297858148556,1811.2832724957,2355.7185779743,TRUE,"spatial",10000,5001,10,2000,1,0,500
4,"sigma_sq",1.00288614668627,1871.82851982158,2288.33796342346,TRUE,"spatial",10000,5001,10,2000,1,0,500
4,"eff_range",1.00228093482219,1490.09103686506,1773.14405263235,TRUE,"spatial",10000,5001,10,2000,1,0,500
4,"lp",1.00605720382329,1249.741104175,1389.85397805504,TRUE,"spatial",10000,5001,10,2000,1,0,500
5,"tau_B_sq",1.0018715753914,1799.35725642532,2544.67149294073,TRUE,"spatial",10000,5001,10,2000,1,0,500
