"target","n","k","RMSPE","CRPS","coverage_95","mean_interval_width","mean_error","MAE","bias","cor","slope","model","diagnostics_passed","rep_id","eff_range","prior_scale"
"latent",49,5,3.44860457207794,2.61424091314892,1,39.4180295630052,-1.4357025307149,3.12145717930846,-1.4357025307149,0.999724235027801,1.01255258263296,"spatial",TRUE,1,0,500
"observed",49,5,17.7093421820949,10.1934863129935,0.938775510204082,68.8126395940393,-0.0567126028678385,14.7368601590723,-0.0567126028678385,0.988859790359675,1.00789072688624,"spatial",TRUE,1,0,500
"latent",49,5,3.46539787618151,1.95933969936295,1,14.5666283341387,-1.44320335224017,3.0989364647813,-1.44320335224017,0.999726420937187,1.01300593909409,"nonspatial",TRUE,1,0,500
"observed",49,5,17.746876905892,10.1920725200429,0.938775510204082,66.8554950922153,0.0498444740769291,14.7635659757166,0.0498444740769291,0.988815658158035,1.00834590191661,"nonspatial",TRUE,1,0,500
"latent",49,5,3.55439939684707,2.68027357178633,1,39.6495211437298,-0.615470106840729,2.51896348505074,-0.615470106840729,0.999747024915739,1.01969731281074,"spatial",TRUE,2,0,500
"observed",49,5,18.0750836354322,10.1587073848545,0.918367346938776,70.7471718425247,-0.132031440018064,13.5531494213839,-0.132031440018064,0.987926712640744,0.995225418201173,"spatial",TRUE,2,0,500
"latent",49,5,3.57813293917092,1.99261831529037,0.959183673469388,15.1578609221089,-0.665725356255523,2.52087992450839,-0.665725356255523,0.999737605006061,1.01939062094377,"nonspatial",TRUE,2,0,500
"observed",49,5,18.0931822242887,10.1928214775875,0.918367346938776,69.6334341789873,-0.0653850963027332,13.5703002284559,-0.0653850963027332,0.987903940312984,0.994809125002489,"nonspatial",TRUE,2,0,500
"latent",49,5,2.17098770746619,2.34923291278501,1,40.252767638918,-1.50499376599387,1.87847770186971,-1.50499376599387,0.999913147308912,1.0013687883138,"spatial",TRUE,3,0,500
"observed",49,5,17.0731453073599,9.73724397880021,0.959183673469388,70.8864313895462,-0.158153670191041,13.4455781017438,-0.158153670191041,0.989564458822484,0.993609351056197,"spatial",TRUE,3,0,500
"latent",49,5,2.09874499501984,1.29083269101646,1,14.8733034080342,-1.42604432638222,1.82021117061853,-1.42604432638222,0.999916223238426,1.00158179687159,"nonspatial",TRUE,3,0,500
"observed",49,5,17.0309662454759,9.7280188348274,0.959183673469388,68.7497524543129,-0.190290264715004,13.3831372961509,-0.190290264715004,0.989617036770602,0.993563267984577,"nonspatial",TRUE,3,0,500
"latent",49,5,5.37939392942769,3.09460053794246,1,41.6153892123433,0.488736518029967,3.39389283911021,0.488736518029967,0.999759206697832,1.04135801679645,"spatial",TRUE,4,0,500
"observed",49,5,17.8905769113696,10.1306066212585,0.959183673469388,72.8357844274982,0.164811421080283,14.1770601538543,0.164811421080283,0.988040754416749,1.00945580861959,"spatial",TRUE,4,0,500
"latent",49,5,5.40896063766564,2.36841844944714,1,15.4863923402857,0.532860591052585,3.36740488506512,0.532860591052585,0.999746130715408,1.0412696642561,"nonspatial",TRUE,4,0,500
"observed",49,5,17.9663404949053,10.2124980362387,0.959183673469388,71.7309635108641,0.305806066025534,14.2587015599865,0.305806066025534,0.987939906141809,1.00936268620777,"nonspatial",TRUE,4,0,500
"latent",49,5,3.6592895819209,2.54164007265977,1,37.3415955062228,-0.439208344581387,2.63098477359715,-0.439208344581387,0.999864934418343,0.974649747739147,"spatial",TRUE,5,0,500
"observed",49,5,16.1600398424293,9.14423641329773,0.938775510204082,66.4685497190047,-0.0378259376319105,12.7400319054322,-0.0378259376319105,0.991157058012673,0.996259264776262,"spatial",TRUE,5,0,500
"latent",49,5,3.56898792887635,1.78948712702829,1,13.9723602154599,-0.374715642447223,2.5837320692076,-0.374715642447223,0.999879896709827,0.974891068576599,"nonspatial",TRUE,5,0,500
"observed",49,5,16.1568790403913,9.14856073566829,0.918367346938776,64.3522448762374,-0.0907005222014477,12.7745439361414,-0.0907005222014477,0.991163899748653,0.995501403225785,"nonspatial",TRUE,5,0,500
"latent",49,5,4.53417694065053,2.88992778502293,1,39.6568575553637,0.752431858962004,3.61378043122778,0.752431858962004,0.999928894588362,0.965306606355482,"spatial",TRUE,6,0,500
"observed",49,5,16.7019286982467,9.55706712715525,0.918367346938776,69.8605242703872,-0.000591972471660722,13.5820055071395,-0.000591972471660722,0.990772463268498,0.998104230852286,"spatial",TRUE,6,0,500
"latent",49,5,4.51734830106344,2.35831500563252,1,14.7369141009127,0.661106851435729,3.63128829652101,0.661106851435729,0.9999394690031,0.965055394003792,"nonspatial",TRUE,6,0,500
"observed",49,5,16.6021647764164,9.52169454013878,0.938775510204082,67.8615410858358,-0.181460358994004,13.5726790551004,-0.181460358994004,0.990885092521748,0.997591319213866,"nonspatial",TRUE,6,0,500
"latent",49,5,3.39850425566833,2.68458834237705,1,43.3795214348175,1.18587542445272,2.39701496047431,1.18587542445272,0.999791192780252,0.982698375399262,"spatial",TRUE,7,0,500
"observed",49,5,18.3936846837098,10.5101494055856,0.938775510204082,74.929694390292,-0.185358205404254,15.2874848442932,-0.185358205404254,0.988294394934611,0.989041984833851,"spatial",TRUE,7,0,500
"latent",49,5,3.32811982602981,1.68064754194354,1,15.952457657642,1.23199925103478,2.31549095860231,1.23199925103478,0.999801922239674,0.983270821607715,"nonspatial",TRUE,7,0,500
