"prior_scale","target","model","eff_range","n_reps","RMSPE_mean","RMSPE_se","RMSPE_sd","CRPS_mean","CRPS_se","CRPS_sd","coverage_95_mean","coverage_95_se","coverage_95_sd","mean_interval_width_mean","mean_interval_width_se","mean_interval_width_sd"
250,"latent","nonspatial",0,10,3.15173623199437,0.396059191716822,1.25244913407045,1.68431895587983,0.156999613938176,0.496476371811754,0.989795918367347,0.00697071480677524,0.0220433357088703,13.9704255328753,0.452341439207454,1.43042922797414
250,"latent","nonspatial",50,10,19.8967282929853,0.444707950519467,1.40629001722698,13.5495311447784,0.345377441136275,1.09217936643136,0.377551020408163,0.0217793341409281,0.0688723018071993,21.3691552267731,0.460592008768521,1.45651981978077
250,"latent","nonspatial",150,10,24.61326231545,0.549093230187168,1.73638525517057,17.00432237773,0.450252504758419,1.42382343723241,0.351020408163265,0.0205887700005735,0.0651074074231586,24.4522440794315,0.517335352830874,1.6359580290724
250,"latent","nonspatial",350,10,24.6667713225372,0.794255697876363,2.51165704985587,17.3018566914417,0.648816425457611,2.05173768777491,0.344897959183673,0.0159392850528707,0.0504044450417488,24.4040413338162,0.682759999632663,2.15907669409494
250,"latent","nonspatial",750,10,23.0571103844017,1.17275018901615,3.70856172368401,16.1875553066428,0.936667193304305,2.96200174039882,0.344897959183673,0.0240416286354725,0.0760263051480191,23.53619705423,0.948483103335923,2.99936692872636
250,"latent","nonspatial",1000,10,22.2602551164263,1.28516762590905,4.06405687298383,15.5779873057166,1.03147522549807,3.2618110626097,0.355102040816327,0.0169931918323766,0.0537371909064803,23.079605244915,1.00910819229776,3.1910802931961
250,"latent","spatial",0,10,3.18135909503741,0.391720279583339,1.2387282891613,2.35500036192797,0.115159408633643,0.364166025280372,1,0,0,36.7245754752658,1.06452081876506,3.36631040396489
250,"latent","spatial",50,10,19.9679744035614,0.450361361272926,1.42416767175639,12.0407177225707,0.311245634784652,0.98424511770443,0.804081632653061,0.0146535096792776,0.0463384663018405,52.034618288383,0.908860818118335,2.87407026133797
250,"latent","spatial",150,10,24.6654325050669,0.584143126994807,1.84722276083658,15.1721981040162,0.422126840408834,1.33488227718232,0.76530612244898,0.0200074029521806,0.0632689633936676,59.4692717780488,1.62392607880787,5.13530516077897
250,"latent","spatial",350,10,23.4253252571992,0.581038769810568,1.83740592146368,14.1869604806464,0.405066141506382,1.28093161017624,0.830612244897959,0.0258234733280303,0.0816609928131844,67.0854241225895,3.7563268498921,11.8785484817045
250,"latent","spatial",750,10,19.6191686823291,0.745199475105666,2.35652765249585,11.5698928282028,0.482573701641246,1.52603203608487,0.895918367346939,0.0312407142944355,0.0987918129009962,66.0346540123418,3.6058320701019,11.4026422016019
250,"latent","spatial",1000,10,18.1513732629381,0.818521530247134,2.58839234946735,10.6115911898408,0.499218610129027,1.57866785835133,0.914285714285714,0.0257786330904713,0.0815191955316748,64.3474586871769,3.29743306832224,10.4273989278559
250,"observed","nonspatial",0,10,16.5209905108055,0.587757658542605,1.85865291320215,9.40609384816281,0.344721061598882,1.09010371208367,0.93469387755102,0.00593047475311656,0.0187538078259731,64.482053383571,2.04459367316631,6.46557289677544
250,"observed","nonspatial",50,10,26.002857342803,0.484366804702475,1.53170232583778,14.8049631727227,0.29655092196892,0.937776355644653,0.93469387755102,0.0066652782116549,0.0210774603875234,99.4388606539878,2.15318803013196,6.80897840582826
250,"observed","nonspatial",150,10,29.751761841019,0.503646862704043,1.59267122254289,16.963776496776,0.322689786663095,1.02043470352921,0.928571428571429,0.00873825345487424,0.027632783689238,113.30224197476,2.4044854131902,7.60365050633212
250,"observed","nonspatial",350,10,29.7006016803483,0.799551056238836,2.5284024433081,16.9450697369317,0.483995428739984,1.53052793192807,0.936734693877551,0.00565076453259732,0.0178692864443043,113.697459296799,3.31789218792784,10.4920963447314
250,"observed","nonspatial",750,10,28.3667223029002,1.14496076099663,3.62068383626904,16.2176483833049,0.698536276597912,2.20896566230278,0.944897959183673,0.00612244897959183,0.0193608836336839,109.209195917113,4.5545665436418,14.4028040327088
250,"observed","nonspatial",1000,10,27.7122289035021,1.20924587324088,3.82397121060045,15.853473722643,0.732821550945753,2.3173852194457,0.948979591836735,0.00548452908047519,0.0173436037877305,106.761159268025,4.67884814797774,14.7958169736702
250,"observed","spatial",0,10,16.5404736135969,0.576311509734879,1.82245701253252,9.41211643226279,0.335439525938042,1.06075291921134,0.942857142857143,0.00793326788414326,0.0250871958021575,65.0816330265572,1.93589972654937,6.12185245759314
250,"observed","spatial",50,10,26.012363182136,0.454715451171392,1.43793651297268,14.8157836189132,0.280604569552536,0.887349561637148,0.924489795918367,0.0105606630586803,0.0333957488670301,99.1941559940092,2.12643623407843,6.72438179879881
250,"observed","spatial",150,10,29.7617654521114,0.485642944963973,1.53573783567795,16.9605109337206,0.30980238678534,0.979681166798125,0.926530612244898,0.0126171680210826,0.0398989885676603,112.801366717224,2.45706148249093,7.76991063574126
250,"observed","spatial",350,10,28.5032884185659,0.612103403031884,1.93564091712077,16.2299070575975,0.371311536037448,1.17419017537403,0.928571428571429,0.00760567339285643,0.0240512510607669,109.930610764818,2.68694188107689,8.49685628470024
250,"observed","spatial",750,10,25.3543481002144,0.745566403486042,2.35768798191599,14.4528990636876,0.445792435104576,1.40971945860326,0.944897959183673,0.00311739843194273,0.00985807941917645,98.6161161285727,2.71684213805655,8.59140919938032
250,"observed","spatial",1000,10,24.1829643108372,0.750151689724113,2.37218793015212,13.7668790220112,0.438852857761422,1.3877745882,0.948979591836735,0.00760567339285642,0.0240512510607669,94.8909545909965,2.58091069109024,8.1615562213244
500,"latent","nonspatial",0,10,3.14911472976507,0.396152866021708,1.25274535823213,1.68815663988932,0.15488533619589,0.489790438539931,0.995918367346939,0.00408163265306123,0.0129072557557893,14.3275206702181,0.435789269075416,1.37808667013829
500,"latent","nonspatial",50,10,19.896138378053,0.444644584968665,1.40608963776125,13.5291265272145,0.345306246016656,1.09195422769508,0.383673469387755,0.0210335031751569,0.0665137772058793,21.5966254843544,0.451494011595804,1.42774942656921
500,"latent","nonspatial",150,10,24.613375341329,0.548929423254744,1.73586725216759,16.9870807718262,0.450228282508031,1.42374683975113,0.353061224489796,0.0215228462851107,0.0680612159906436,24.6386155264916,0.518069282413876,1.63827891819686
